# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0xBDE85E00  0x00029200  -
0xBDEAF000  0x00000200  +
0xBDEAF200  0x00000800  -
0xBDEAFA00  0x00000200  +
0xBDEAFC00  0x00001400  -
0xBDEB1000  0x00000800  +
0xBDEB1800  0x00000200  -
0xBDEB1A00  0x00000C00  +
0xBDEB2600  0x00000200  -
0xBDEB2800  0x00001400  +
0xBDEB3C00  0x00000C00  -
0xBDEB4800  0x00000200  +
0xBDEB4A00  0x00000200  -
0xBDEB4C00  0x00000200  +
0xBDEB4E00  0x00000200  -
0xBDEB5000  0x00000200  +
0xBDEB5200  0x00000200  -
0xBDEB5400  0x00000A00  +
0xBDEB5E00  0x00000200  -
0xBDEB6000  0x02150000  +
0xC0006000  0x00000400  -
0xC0006400  0x00000A00  +
0xC0006E00  0x00002000  -
0xC0008E00  0x00005000  +
0xC000DE00  0x00001200  -
0xC000F000  0x0000A000  +
0xC0019000  0x00000200  -
0xC0019200  0x00000C00  +
0xC0019E00  0x00001000  -
0xC001AE00  0x0001A000  +
0xC0034E00  0x00000200  -
0xC0035000  0x00001400  +
0xC0036400  0x00000400  -
0xC0036800  0x00005600  +
0xC003BE00  0x00000200  -
0xC003C000  0x00000200  +
0xC003C200  0x00000200  -
0xC003C400  0x00000600  +
0xC003CA00  0x00000200  -
0xC003CC00  0x00001200  +
0xC003DE00  0x00000200  -
0xC003E000  0x00002E00  +
0xC0040E00  0x00001000  -
0xC0041E00  0x00015000  +
0xC0056E00  0x00004400  -
0xC005B200  0x00000200  +
0xC005B400  0x00001600  -
0xC005CA00  0x00000200  +
0xC005CC00  0x00003400  -
0xC0060000  0x00067000  +
0xC00C7000  0x00000400  -
0xC00C7400  0x00000A00  +
0xC00C7E00  0x00002200  -
0xC00CA000  0x000BFE00  +
0xC0189E00  0x00001200  -
0xC018B000  0x0002FE00  +
0xC01BAE00  0x00000200  -
0xC01BB000  0x00000200  +
0xC01BB200  0x00000200  -
0xC01BB400  0x00000A00  +
0xC01BBE00  0x00000200  -
0xC01BC000  0x000D2000  +
0xC028E000  0x00000200  -
0xC028E200  0x00000E00  +
0xC028F000  0x00000400  -
0xC028F400  0x00000600  +
0xC028FA00  0x00000200  -
0xC028FC00  0x00001200  +
0xC0290E00  0x00001200  -
0xC0292000  0x0003A000  +
0xC02CC000  0x00000400  -
0xC02CC400  0x00000A00  +
0xC02CCE00  0x00000200  -
0xC02CD000  0x0003BE00  +
0xC0308E00  0x00002200  -
0xC030B000  0x00017000  +
0xC0322000  0x00000200  -
